"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"0321","内水面漁業","河川，湖沼などの淡水において自然繁殖している（まき付，放苗，投石，耕うんなどいわゆる増殖によって繁殖しているものを含む）水産動植物を採捕する事業所をいう。
"
"04","水産養殖業","総　　　説
 この中分類には，海面又は内水面において人工的設備を施し，水産動植物を移植，放苗，育成などにより集中的に生産する事業所が分類される。
 なお，陸上における養殖のうち海水を用いて養殖を行う事業所は海面養殖業[041]に分類される。
"
"040","管理，補助的経済活動を行う事業所（04水産養殖業）",""
"0400","主として管理事務を行う本社等","主として水産養殖業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，企画，広報・宣伝，生産・プロジェクト管理，支社・支店等の管理，出荷・販売等の現業以外の業務を行う事業所をいう。
"
"0409","その他の管理，補助的経済活動を行う事業所","主として水産養殖業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"041","海面養殖業","海面において行う養殖業で，築堤，小割，いかだ式垂下，はえ縄，網びきなどにより水産動植物を養殖する事業所をいう。
"
"0411","魚類養殖業","魚類の養殖を行う事業所をいう。
"
"0412","貝類養殖業","貝類の養殖を行う事業所をいう。
"
"0413","藻類養殖業","藻類の養殖を行う事業所をいう。
"
"0414","真珠養殖業","真珠母貝に真珠核挿入の手術を施し，真珠の養殖を行う事業所をいう。
"
"0415","種苗養殖業","海産魚介類の種苗養殖を行う事業所及び真珠母貝の稚貝を採苗し成貝まで養殖する事業所をいう。
"
"0419","その他の海面養殖業","他に分類されない海産動物類の養殖を行う事業所をいう。
"
"042","内水面養殖業",""
"0421","内水面養殖業","内水面において行う養殖業で，池中養殖，ため池養殖，水田養魚，いけす養魚を行う事業所をいう。
"
"C","鉱業，採石業，砂利採取業","総　　　説
　この大分類には，有機物，無機物を問わず，天然に固体，液体又はガスの状態で生ずる鉱物を掘採，採石する事業所及びこれらの選鉱その他の品位向上処理を行う事業所が分類される。
　鉱物を探査するための地質調査，物理探鉱，地化学探鉱，試すい（錐）などの探鉱作業及び開坑，掘さく，排土などの鉱山開発作業，その他鉱業に直結する作業も本分類に含まれる。
　なお，探鉱，鉱山開発又は鉱山内の鉱物運搬等の作業を請負う事業所も本分類に含まれる。
　ろう石クレー，陶石クレーの製造を行う事業所も本分類に含まれる。

鉱業，採石業，砂利採取業と他産業との関係
(1) 鉱石から含有する金属を抽出するための製錬及び精製を行う事業所は大分類Ｅ－製造業[22，23］に分類される。
(2) 石炭からのコークス製造及びコークスの副産物製造を行う事業所は大分類Ｅ－製造業［1731］に，石炭からガスを製造し，導管により供給する事業所は大分類Ｆ－電気・ガス・熱供給・水道業［3411］に分類される。
(3) 天然ガスを導管により供給する事業所は大分類Ｆ－電気・ガス・熱供給・水道業［3411］に分類される。
(4) 石油の精製を行う事業所は大分類Ｅ－製造業［1711］に分類される。
(5) 掘採された岩石の破砕，粉砕を行う事業所は大分類Ｅ－製造業［2181，2186］に，一定の大きさの石に切る事業所は大分類Ｅ－製造業［2184］に，碑石，墓石の彫刻や仕上げを行い小売する事業所は大分類Ｉ－卸売業，小売業［6099］に分類される。
　ただし，採石現場で行うものは本分類に含まれる。
"
"05","鉱業，採石業，砂利採取業","総　　　説
  この中分類には，有機物，無機物を問わず，天然に固体，液体又はガスの状態で生ずる鉱物を掘採，採石する事業所及びこれらの選鉱その他の品位向上処理を行う事業所が分類される。
  鉱物を探査するための地質調査，物理探鉱，地化学探鉱，試すい（錐）などの探鉱作業及び開坑，掘さく，排土などの鉱山開発作業，その他鉱業に直結する作業も本分類に含まれる。
  複雑な種類の金属鉱の掘採を行う事業所はそのうちの主たる目的である鉱物によって分類される。
  ろう石クレー，陶石クレーの製造を行う事業所も本分類に含まれる。
"
"050","管理，補助的経済活動を行う事業所（05鉱業，採石業，砂利採取業）",""
"0500","主として管理事務を行う本社等","主として鉱業，採石業，砂利採取業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"0509","その他の管理，補助的経済活動を行う事業所","主として鉱業，採石業，砂利採取業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"051","金属鉱業",""
"0511","金・銀鉱業","主として金鉱，銀鉱又は砂金の掘採を行う事業所及び選鉱（青化処理，とう（搗）鉱処理を含む）を行う事業所をいう。
"
"0512","鉛・亜鉛鉱業","主として鉛鉱，亜鉛鉱又は鉛亜鉛鉱の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0513","鉄鉱業","主として鉄鉱の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0519","その他の金属鉱業","主として他に分類されない金属鉱の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"052","石炭・亜炭鉱業",""
"0521","石炭鉱業（石炭選別業を含む）","無煙炭，せん石，れき青炭，亜れき青炭，かっ（褐）炭（亜炭を除く）の掘採及びこれに附随する選炭処理を行う事業所をいう。
また，主として廃石，選炭廃水から石炭を選別し，又は回収する事業所も本分類に含まれる。
"
"0522","亜炭鉱業","亜炭の掘採及びこれに附随する選炭処理を行う事業所をいう。
"
"053","原油・天然ガス鉱業",""
"0531","原油鉱業","主として原油の掘採を行う事業所をいう。
"
"0532","天然ガス鉱業","主として天然ガスの掘採を行う事業所及び自ら掘採した天然ガスから天然ガソリン，液化石油ガス（ＬＰＧ），圧縮ガスを生産する事業所をいう。
"
"054","採石業，砂・砂利・玉石採取業",""
"0541","花こう岩・同類似岩石採石業","主として花こう岩及びその類似岩石の採石を行う事業所をいう。
"
"0542","石英粗面岩・同類似岩石採石業","主として石英粗面岩及びその類似岩石の採石を行う事業所をいう。
"
"0543","安山岩・同類似岩石採石業","主として安山岩及びその類似岩石の採石を行う事業所をいう。
"
"0544","大理石採石業","主として大理石の採石を行う事業所をいう。
"
"0545","ぎょう灰岩採石業","主としてぎょう灰岩の採石を行う事業所をいう。
"
"0546","砂岩採石業","主として砂岩の採石を行う事業所をいう。
"
"0547","粘板岩採石業","主として粘板岩の採石を行う事業所をいう。
"
"0548","砂・砂利・玉石採取業","主として砂，砂利，玉石などの採取を行う事業所をいう。
"
"0549","その他の採石業，砂・砂利・玉石採取業","主としてかんらん岩，蛇紋岩など他に分類されない岩石の採石を行う事業所をいう。
"
"055","窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）",""
"0551","耐火粘土鉱業","主として耐火粘土の掘採を行う事業所及び選鉱を行う事業所をいう。
けつ岩粘土，木節粘土，がいろ目粘土の掘採を行う事業所も本分類に含まれる。
"
"0552","ろう石鉱業","主としてろう石（ダイアスポアを含む）の掘採を行う事業所及び選鉱を行う事業所並びにろう石クレーを製造する事業所をいう。
"
"0553","ドロマイト鉱業","主としてドロマイトの掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0554","長石鉱業","主として長石，半花こう岩，風化花こう岩の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0555","けい石鉱業","主として白けい石，軟けい石，炉材けい石の掘採を行う事業所及び選鉱を行う事業所並びに粉砕を行う事業所をいう。
"
"0556","天然けい砂鉱業","主として天然けい砂の掘採を行う事業所及び選鉱を行う事業所並びに粉砕を行う事業所をいう。
"
"0557","石灰石鉱業","主として石灰石の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0559","その他の窯業原料用鉱物鉱業","主として他に分類されない窯業原料となる鉱物の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"059","その他の鉱業",""
"0591","酸性白土鉱業","主として酸性白土の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0592","ベントナイト鉱業","主としてベントナイトの掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0593","けいそう土鉱業","主としてけいそう土の掘採を行う事業所及び選鉱を行う事業所をいう。
"
"0594","滑石鉱業","主として滑石の掘採を行う事業所及び選鉱を行う事業所並びに粉砕を行う事業所をいう。
"
"0599","他に分類されない鉱業","主として他に分類されない鉱物及び岩石の掘採を行う事業所及び選鉱を行う事業所並びに粉砕を行う事業所をいう。
"
"D","建設業","総　　　説
　この大分類には，主として注文又は自己建設によって建設工事を施工する事業所が分類される。
　ただし，主として自己建設で維持補修工事を施工する事業所及び建設工事の企画，調査，測量，設計，監督等を行う事業所は含まれない。

　　　建設工事
　建設工事とは，現場において行われる次の工事をいう。
(1) 　建築物，土木施設その他土地に継続的に接着する工作物及びそれらに附帯する設備を新設，改造，修繕，解体，除却若しくは移設すること。
(2) 　土地，航路，流路などを改良若しくは造成すること。
(3)　 機械装置をすえ付け，解体若しくは移設すること。

　　　事　業　所
　建設業の事業所は，本店（個人経営などで本店のような事務所を持たない場合は事業主の住居），支店又はその他の事務所で常時建設工事の請負契約を締結する事務所あるいは建設工事の現場を管理する事務所とする。
　なお，建設工事の行われている現場は事業所とせず，その現場を管理する事務所に含めて一事業所とする。

　　　建設業と他産業との関係
(1) 　建設材料，その他の製品を生産又は販売する事業所が，自己の生産品又は販売品を用いる建設工事（機械装置のすえ付け，解体，移設工事を除く）を併せ営む場合には，主な業務により製造業，卸売業又は建設業に分類される。
(2) 　金属，非金属，石炭，石油，天然ガスなどの鉱物を採取するための試堀，坑道掘さく，さく井，排土作業を主として請負う事業所は大分類Ｃ－鉱業，採石業，砂利採取業［05］に分類される。
(3) 　土地，建物などの不動産の賃貸業，代理業，仲介業，管理業，建物建売業（自ら労働者を雇用して建物を建設し，それを分譲する事業所を除く），土地分譲業（自ら労働者を雇用して，土地造成を行い，それを分譲する事業所を除く）は大分類Ｋ－不動産業，物品賃貸業［68，69］に分類される。
(4) 　主として試すい（錐）（鉱山用を除く），測量又は建設工事のコンサルタント，設計，監理を行う事業所は大分類Ｌ－学術研究，専門・技術サービス業［742］に分類される。
(5) 　国，地方公共団体等の工事事務所，土木事務所の類は，主として建設工事を自己建設（維持補修を除く）で行うもの以外は大分類Ｌ－学術研究，専門・技術サービス業［7421］に分類される。
(6) 　石油精製，化学，製鉄，発電等のプラントを対象として，企画，設計，調達，施工，施工管理を一括して請負い，これらのサービスを提供する事業所は大分類Ｌ－学術研究，専門・技術サービス業［7499］に分類される。
"
"06","総合工事業","総　　　説
　この中分類には，主として土木施設，建築物を完成することを発注者に対し直接請負う事業所又は自己建設で行う事業所が分類される。
　建築物の改装又は軽微な増・改築工事を総合的に行う事業所も本分類に含まれる。
　ただし，建築物の改装又は軽微な増・改築工事を行う事業所のうち塗装工事，内装工事，給排水・衛生設備工事などの個別の工事を行う事業所は，中分類［07，08］に分類される。
"
"060","管理，補助的経済活動を行う事業所（06総合工事業）",""
"0600","主として管理事務を行う本社等","主として総合工事業の事業所を統括する本社等として，自企業の経営を推進するための総務，財務・経理，法務，広報・宣伝，保有資機材の管理，仕入・原材料購入等の現業以外の業務を行う事業所をいう。
"
"0609","その他の管理，補助的経済活動を行う事業所","主として総合工事業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"061","一般土木建築工事業",""
"0611","一般土木建築工事業","各種の土木施設と建築物を，いずれでも完成する能力を有する事業所をいう。
完成する能力とは，土木技術者及び建築技術者の双方を有し，かつ現実に土木工事及び建築工事の双方を施工しているか，又は最近において双方を施工した実績を有することである。
"
"062","土木工事業（舗装工事業を除く）",""
"0621","土木工事業(別掲を除く)","一般土木建築工事業に属さないで，主として堤防・護岸・水利・床固・山腹工事などによる河川・砂防・海岸・治山施設工事，ダム工事，各種の貯水池，用水池などの建設工事，各種の水路工事，かんがい排水施設工事，防波堤，岸壁・桟橋などの港湾施設工事，埋立工事，干拓工事，開墾工事，軌条敷設・停車場・鉄道土工・伏せどい・溝橋などの鉄道施設工事，地下鉄・地下工作物工事，ドック建設工事，高架道路・高架施設工事，橋りょう工事（鋼橋上部工事を除く），ずい道工事，水源施設・浄水施設・送水施設・配水施設などの上水道工事，下水管きょ・ポンプ施設・下水処理場などの下水道工事，道路工事，駐車場工事，飛行場・水上飛行場工事，運動競技場・競馬場・競輪場工事，宅地造成工事などのすべて又はいずれかを行うことによって，土木施設を完成する事業所をいう。
ただし，主として造園工事を行う事業所は細分類0622に，しゅんせつ工事を行う事業所は細分類0623に，舗装工事を行う事業所は細分類0631に分類される。
"
"0622","造園工事業","主として庭園，公園，緑地等の苑地を築造する工事を行う事業所をいう。
"
"0623","しゅんせつ工事業","主としてしゅんせつ工事及びしゅんせつ工事を伴う土木工事を行う事業所をいう。
"
"063","舗装工事業",""
"0631","舗装工事業","主として道路舗装工事及び舗装工事を伴う土木工事を行う事業所をいう。
"
"064","建築工事業(木造建築工事業を除く)",""
"0641","建築工事業(木造建築工事業を除く)","主として木造建築物のみでなく，鉄骨鉄筋コンクリート造建築物，鉄筋コンクリート造建築物，無筋コンクリート造建築物，鉄骨造建築物，組立鉄筋コンクリート造建築物，コンクリートブロック造建築物，プレハブリケーション建築物（ユニット住宅を含む），石造建築物又はれんが造建築物を完成する事業所をいう。
"
"065","木造建築工事業",""
"0651","木造建築工事業","主として木造建築物のみを完成する事業所をいう。
"
"066","建築リフォーム工事業",""
"0661","建築リフォーム工事業","主として各種建築物の改装又は軽微な増・改築工事を総合的に行う事業所をいう。
"
"07","職別工事業(設備工事業を除く)","総　　　説
　この中分類には，主として下請として工事現場において建築物又は土木施設などの工事目的物の一部を構成するための建設工事を行う事業所が分類される。
　ただし，設備工事を行う事業所は中分類08－設備工事業に分類される。
"
"070","管理，補助的経済活動を行う事業所（07職別工事業）",""
"0700","主として管理事務を行う本社等","主として職別工事業の事業所を統括する本社等として，保有資機材の管理等の現業以外の業務を行う事業所をいう。
"
